month,group,district,count
2013-11,AUTO THEFTS,Q,22
2013-02,ROBBERY,S,14
2013-02,ARREST,K,70
2011-11,AUTO THEFTS,R,27
2013-12,FRAUD CALLS,K,22
2011-07,LIQUOR VIOLATIONS,M,251
2011-01,PROWLER,C,2
2011-06,WEAPONS CALLS,O,5
2012-10,HAZARDS,J,19
2011-03,SUSPICIOUS CIRCUMSTANCES,NULL,1
2012-04,DRIVE BY (NO INJURY),M,2
2013-11,PERSON DOWN/INJURY,W,7
2013-04,FALSE ALARMS,D,38
2011-10,ASSAULTS,O,21
2011-05,SUSPICIOUS CIRCUMSTANCES,L,205
2012-05,AUTO THEFTS,K,10
2011-04,AUTO THEFTS,E,25
2011-02,"PERSONS - LOST, FOUND, MISSING",C,3
2011-05,"PROPERTY - MISSING, FOUND",M,17
2013-12,TRAFFIC RELATED CALLS,C,269
2013-12,FALSE ALARMS,N,50
2013-12,TRESPASS,J,15
2013-07,CAR PROWL,W,51
2012-05,DRIVE BY (NO INJURY),F,1
2011-03,TRAFFIC RELATED CALLS,NULL,1
2011-08,FRAUD CALLS,M,13
2013-07,"THREATS, HARASSMENT",G,15
2012-12,PROPERTY DAMAGE,R,26
2012-04,PROPERTY DAMAGE,Q,31
2013-11,"PROPERTY - MISSING, FOUND",L,13
2011-12,TRESPASS,J,18
2013-11,NARCOTICS COMPLAINTS,G,12
2013-09,MENTAL HEALTH,Q,15
2013-12,OTHER PROPERTY,U,31
2012-10,NARCOTICS COMPLAINTS,M,143
2013-02,PROWLER,W,2
2013-10,DISTURBANCES,W,107
2012-12,OTHER PROPERTY,W,40
2013-01,"PERSONS - LOST, FOUND, MISSING",U,3
2013-12,FRAUD CALLS,99,1
2012-10,MISCELLANEOUS MISDEMEANORS,S,1
2012-08,MISCELLANEOUS MISDEMEANORS,N,18
2011-06,FRAUD CALLS,G,9
2012-02,LIQUOR VIOLATIONS,B,20
2012-05,DISTURBANCES,Q,148
2012-04,LEWD CONDUCT,J,2
2012-09,ASSAULTS,J,30
2012-08,SHOPLIFTING,E,39
2011-08,ROBBERY,U,11
2011-08,PROPERTY DAMAGE,C,26
2012-07,"NUISANCE, MISCHIEF",J,32
2012-10,BIKE,J,12
2013-06,ACCIDENT INVESTIGATION,W,104
2012-08,LIQUOR VIOLATIONS,O,97
2012-06,SUSPICIOUS CIRCUMSTANCES,99,6
2011-12,HARBOR CALLS,D,3
2012-09,CAR PROWL,S,24
2011-12,PROSTITUTION,L,1
2013-10,TRAFFIC RELATED CALLS,K,258
2013-01,RECKLESS BURNING,N,1
2013-11,ARREST,O,8
2012-08,LIQUOR VIOLATIONS,S,8
2012-06,PROPERTY DAMAGE,B,19
2012-06,BIKE,R,1
2011-05,ASSAULTS,NULL,1
2013-07,FRAUD CALLS,C,5
2012-09,TRESPASS,NULL,1
2013-02,WEAPONS CALLS,J,3
2012-08,ANIMAL COMPLAINTS,G,7
2011-05,PROPERTY DAMAGE,N,23
2013-02,DISTURBANCES,F,136
2012-03,SHOPLIFTING,N,69
2011-08,ASSAULTS,N,29
2012-11,BURGLARY,F,33
2013-03,NARCOTICS COMPLAINTS,F,17
2012-10,ARREST,D,37
2011-06,DISTURBANCES,K,308
2012-10,"PERSONS - LOST, FOUND, MISSING",J,6
2013-12,CAR PROWL,S,56
2013-04,AUTO THEFTS,G,11
2013-09,ARREST,E,22
2012-06,TRAFFIC RELATED CALLS,G,433
2013-08,ARREST,J,6
2013-06,OTHER VICE,G,1
2011-11,ANIMAL COMPLAINTS,B,5
2013-07,BURGLARY,U,45
2012-10,ASSAULTS,K,70
2013-10,ASSAULTS,F,15
2011-12,CAR PROWL,E,37
2013-05,MENTAL HEALTH,R,25
2013-06,HAZARDS,B,26
2012-12,MENTAL HEALTH,NULL,2
2012-11,ARREST,C,17
2012-09,ACCIDENT INVESTIGATION,O,108
2011-08,HARBOR CALLS,S,1
2011-04,BIKE,E,4
2012-06,PROPERTY DAMAGE,Q,22
2011-02,DISTURBANCES,U,143
2013-11,LEWD CONDUCT,M,7
2011-06,BURGLARY,E,11
2013-04,FALSE ALARMS,G,36
2011-03,LIQUOR VIOLATIONS,G,4
2011-08,PROSTITUTION,D,9
2013-02,"PROPERTY - MISSING, FOUND",E,17
2011-01,ANIMAL COMPLAINTS,L,2
2011-03,"NUISANCE, MISCHIEF",Q,20
2013-04,BIKE,W,2
2012-08,BURGLARY,L,44
2011-12,ASSAULTS,G,9
2013-02,"NUISANCE, MISCHIEF",S,6
2013-09,BIKE,W,3
2011-10,PERSON DOWN/INJURY,F,10
2012-08,TRESPASS,O,23
2012-11,MENTAL HEALTH,B,28
2013-06,PROWLER,D,3
2013-09,TRAFFIC RELATED CALLS,NULL,6
2012-09,MENTAL HEALTH,Q,20
2013-11,"PROPERTY - MISSING, FOUND",O,3
2013-01,LEWD CONDUCT,R,3
2011-08,ANIMAL COMPLAINTS,E,3
2013-08,FRAUD CALLS,J,17
2013-06,LEWD CONDUCT,U,6
2012-12,OTHER PROPERTY,E,45
2011-06,MENTAL HEALTH,S,24
2012-02,"PERSONS - LOST, FOUND, MISSING",G,3
2011-02,HAZARDS,R,9
2013-10,OTHER PROPERTY,C,36
2012-08,ANIMAL COMPLAINTS,B,3
2012-11,BIKE,L,5
2011-12,MENTAL HEALTH,G,16
2011-09,HARBOR CALLS,W,2
2013-10,MENTAL HEALTH,K,70
2012-02,MENTAL HEALTH,R,7
2011-05,WEAPONS CALLS,S,3
2013-01,PROPERTY DAMAGE,D,20
2011-09,TRESPASS,Q,17
2013-10,"THREATS, HARASSMENT",E,16
2012-03,"THREATS, HARASSMENT",J,8
2012-08,MISCELLANEOUS MISDEMEANORS,M,16
2012-10,SUSPICIOUS CIRCUMSTANCES,99,9
2013-10,"NUISANCE, MISCHIEF",Q,27
2013-09,AUTO THEFTS,F,46
2011-06,RECKLESS BURNING,J,1
2011-11,MENTAL HEALTH,J,24
2012-07,HARBOR CALLS,S,1
2012-05,"THREATS, HARASSMENT",C,17
2011-04,PROSTITUTION,R,1
2013-08,TRAFFIC RELATED CALLS,M,246
2013-05,BURGLARY,F,39
2012-04,PROSTITUTION,O,6
2012-02,PROWLER,J,3
2011-09,MISCELLANEOUS MISDEMEANORS,C,23
2013-05,DISTURBANCES,R,117
2011-10,BURGLARY,K,28
2013-05,FALSE ALARMS,F,47
2013-01,RECKLESS BURNING,B,1
2013-08,MISCELLANEOUS MISDEMEANORS,R,1
2011-08,PROPERTY DAMAGE,W,20
2013-11,WEAPONS CALLS,G,1
2012-12,ASSAULTS,R,5
2012-06,CAR PROWL,Q,44
2012-08,FALSE ALARMS,J,61
2013-08,MENTAL HEALTH,W,28
2012-11,LIQUOR VIOLATIONS,B,10
2011-07,SHOPLIFTING,J,22
2013-05,MISCELLANEOUS MISDEMEANORS,N,2
2013-05,MENTAL HEALTH,U,37
2012-04,ACCIDENT INVESTIGATION,K,84
2011-08,HAZARDS,B,14
2011-10,HARBOR CALLS,NULL,1
2012-03,CAR PROWL,G,16
2013-03,LEWD CONDUCT,O,3
2011-02,FRAUD CALLS,D,12
2011-03,LEWD CONDUCT,F,2
2011-09,HAZARDS,S,12
2011-05,TRAFFIC RELATED CALLS,O,295
2013-10,OTHER PROPERTY,F,18
2013-07,FRAUD CALLS,S,10
2013-03,AUTO THEFTS,L,35
2012-03,SUSPICIOUS CIRCUMSTANCES,E,271
2013-11,PROPERTY DAMAGE,N,16
2012-11,DISTURBANCES,F,129
2011-10,BURGLARY,R,65
2012-10,LEWD CONDUCT,K,2
2011-12,"NUISANCE, MISCHIEF",99,1
2011-12,PERSON DOWN/INJURY,S,7
2012-05,ANIMAL COMPLAINTS,O,6
2012-07,BIKE,NULL,1
2012-06,PROSTITUTION,R,2
2013-06,PERSON DOWN/INJURY,D,23
2013-12,TRESPASS,D,48
2011-12,MENTAL HEALTH,D,59
2013-06,"PERSONS - LOST, FOUND, MISSING",M,7
2011-12,ACCIDENT INVESTIGATION,N,113
2013-10,"NUISANCE, MISCHIEF",J,19
2011-05,NARCOTICS COMPLAINTS,J,19
2012-08,"PROPERTY - MISSING, FOUND",B,14
2011-05,ROBBERY,B,4
2012-02,"NUISANCE, MISCHIEF",L,19
2012-05,AUTO THEFTS,M,14
2013-01,SUSPICIOUS CIRCUMSTANCES,L,179
2012-09,TRAFFIC RELATED CALLS,Q,260
2012-03,WEAPONS CALLS,U,3
2013-04,PERSON DOWN/INJURY,F,7
2011-03,BURGLARY,B,55
2013-05,DISTURBANCES,K,303
2011-07,FALSE ALARMS,D,42
2013-03,BURGLARY,NULL,2
2012-09,HAZARDS,L,11
2012-05,ARREST,W,6
2012-01,"NUISANCE, MISCHIEF",Q,19
2012-06,NARCOTICS COMPLAINTS,O,16
2012-09,RECKLESS BURNING,R,1
2011-07,PROWLER,K,2
2013-01,"PROPERTY - MISSING, FOUND",NULL,14
2011-01,CAR PROWL,E,30
2011-11,OTHER PROPERTY,Q,19
2012-03,ACCIDENT INVESTIGATION,B,86
2013-09,ARREST,J,5
2012-04,DRIVE BY (NO INJURY),D,1
2012-11,AUTO THEFTS,D,25
2011-12,SUSPICIOUS CIRCUMSTANCES,E,211
2013-09,ACCIDENT INVESTIGATION,F,5
2013-12,TRESPASS,Q,18
2013-08,WEAPONS CALLS,Q,2
2011-05,NARCOTICS COMPLAINTS,O,22
2011-12,PROPERTY DAMAGE,R,26
2011-02,BURGLARY,NULL,2
2012-03,LEWD CONDUCT,K,5
2013-04,AUTO THEFTS,E,18
2012-08,SHOPLIFTING,D,23
2012-09,MENTAL HEALTH,N,45
2012-12,OTHER PROPERTY,K,53
2011-08,CAR PROWL,NULL,1
2012-08,NARCOTICS COMPLAINTS,N,21
2011-07,TRESPASS,R,23
2012-02,WEAPONS CALLS,D,8
2011-04,"NUISANCE, MISCHIEF",E,13
2011-05,HARBOR CALLS,W,1
2012-12,MISCELLANEOUS MISDEMEANORS,D,14
2011-04,PROSTITUTION,Q,3
2013-07,MENTAL HEALTH,B,25
2011-07,PERSON DOWN/INJURY,D,24
2013-07,BURGLARY,F,42
2012-10,PROPERTY DAMAGE,M,17
2011-06,LEWD CONDUCT,E,8
2013-08,MENTAL HEALTH,E,70
2013-02,HARBOR CALLS,G,1
2011-12,ASSAULTS,N,20
2013-02,"PROPERTY - MISSING, FOUND",K,19
2011-12,BIKE,D,3
2013-04,BIKE,Q,3
2011-03,SHOPLIFTING,O,11
2011-05,MISCELLANEOUS MISDEMEANORS,M,14
2011-11,PROPERTY DAMAGE,M,20
2012-03,LEWD CONDUCT,F,3
2012-05,PROWLER,B,3
2012-07,NARCOTICS COMPLAINTS,Q,1
2013-05,TRAFFIC RELATED CALLS,U,202
2011-06,"THREATS, HARASSMENT",O,16
2011-10,BURGLARY,U,46
2012-11,TRAFFIC RELATED CALLS,L,124
2013-01,OTHER VICE,S,1
2011-06,SUSPICIOUS CIRCUMSTANCES,S,240
2012-03,PROSTITUTION,E,1
2012-11,PROWLER,K,2
2011-05,HARBOR CALLS,E,1
2011-10,SUSPICIOUS CIRCUMSTANCES,R,234
2013-12,LEWD CONDUCT,D,1
2012-01,ROBBERY,N,3
2013-08,PROSTITUTION,J,1
2013-12,PERSON DOWN/INJURY,M,16
2012-09,OTHER PROPERTY,D,69
2011-06,MISCELLANEOUS MISDEMEANORS,D,7
2012-11,ACCIDENT INVESTIGATION,C,80
2011-01,ASSAULTS,U,26
2012-07,AUTO THEFTS,C,30
2011-09,MISCELLANEOUS MISDEMEANORS,J,1
2013-02,HARBOR CALLS,R,2
2012-07,ROBBERY,Q,2
2011-06,WEAPONS CALLS,M,7
2011-11,TRAFFIC RELATED CALLS,E,230
2013-09,AUTO THEFTS,D,27
2013-10,LIQUOR VIOLATIONS,B,27
2012-01,SUSPICIOUS CIRCUMSTANCES,F,140
2013-10,OTHER PROPERTY,R,29
2011-10,BURGLARY,F,51
2012-02,NARCOTICS COMPLAINTS,C,9
2013-07,ANIMAL COMPLAINTS,W,10
2011-07,AUTO THEFTS,O,74
2013-07,RECKLESS BURNING,U,1
2011-12,PROSTITUTION,R,2
2011-12,OTHER VICE,L,2
2011-09,"THREATS, HARASSMENT",O,7
2013-05,"PROPERTY - MISSING, FOUND",E,19
2011-10,ROBBERY,99,1
2012-07,TRAFFIC RELATED CALLS,R,213
2012-03,PROWLER,C,2
2012-12,ACCIDENT INVESTIGATION,J,112
2011-06,BURGLARY,B,36
2011-08,DISTURBANCES,U,261
2012-10,SHOPLIFTING,E,34
2011-11,MENTAL HEALTH,D,67
2011-10,FALSE ALARMS,K,30
2013-03,SHOPLIFTING,U,28
2012-02,WEAPONS CALLS,M,3
2011-02,LIQUOR VIOLATIONS,S,10
2012-01,"NUISANCE, MISCHIEF",J,21
2013-04,PROWLER,G,3
2012-04,BURGLARY,S,28
2011-09,"NUISANCE, MISCHIEF",K,65
2012-01,DISTURBANCES,M,263
2012-08,LIQUOR VIOLATIONS,NULL,3
2013-11,ACCIDENT INVESTIGATION,S,2
2012-07,PERSON DOWN/INJURY,B,6
2013-11,"PROPERTY - MISSING, FOUND",S,6
2011-09,PERSON DOWN/INJURY,K,22
2012-06,DISTURBANCES,D,213
2011-10,TRESPASS,W,1
2011-09,ASSAULTS,B,18
2013-07,ASSAULTS,C,28
2012-12,OTHER PROPERTY,L,30
2012-06,SHOPLIFTING,C,14
2011-12,FALSE ALARMS,L,72
2011-07,PROSTITUTION,K,7
2011-09,BURGLARY,K,15
2011-08,PROPERTY DAMAGE,B,33
2011-07,HAZARDS,G,15
2011-12,"NUISANCE, MISCHIEF",U,20
2011-01,ROBBERY,S,19
2013-02,ACCIDENT INVESTIGATION,U,82
2011-02,HAZARDS,K,12
2012-06,ACCIDENT INVESTIGATION,NULL,1
2013-08,"NUISANCE, MISCHIEF",O,20
2013-04,TRESPASS,K,77
2012-02,ROBBERY,D,6
2012-09,"NUISANCE, MISCHIEF",W,30
2013-10,AUTO THEFTS,E,40
2012-07,CAR PROWL,S,32
2012-10,FRAUD CALLS,K,25
2012-04,LIQUOR VIOLATIONS,U,30
2012-01,RECKLESS BURNING,O,1
2011-05,DISTURBANCES,B,138
2012-06,AUTO THEFTS,G,13
2013-04,FRAUD CALLS,U,9
2013-11,AUTO THEFTS,N,44
2011-02,FRAUD CALLS,C,16
2013-05,SHOPLIFTING,C,34
2011-10,ASSAULTS,C,9
2012-04,DRIVE BY (NO INJURY),R,6
2012-11,MENTAL HEALTH,G,28
2011-06,OTHER PROPERTY,S,24
2013-04,DISTURBANCES,S,140
2012-08,"PROPERTY - MISSING, FOUND",W,13
2011-02,ROBBERY,F,4
2012-05,ANIMAL COMPLAINTS,Q,2
2011-10,HARBOR CALLS,E,1
2011-04,TRAFFIC RELATED CALLS,99,15
2013-10,PROSTITUTION,D,1
2013-10,FRAUD CALLS,Q,15
2012-11,PROWLER,L,4
2013-03,PROPERTY DAMAGE,G,29
2011-12,TRAFFIC RELATED CALLS,W,213
2012-01,MISCELLANEOUS MISDEMEANORS,F,1
2012-09,"PERSONS - LOST, FOUND, MISSING",S,13
2013-12,ROBBERY,N,9
2013-04,AUTO THEFTS,J,43
2012-08,TRAFFIC RELATED CALLS,D,248
2011-04,MISCELLANEOUS MISDEMEANORS,W,26
2011-02,"PROPERTY - MISSING, FOUND",L,7
2012-04,PERSON DOWN/INJURY,D,22
2012-12,NARCOTICS COMPLAINTS,Q,1
2011-08,ASSAULTS,J,13
2011-03,ROBBERY,O,11
2011-01,MENTAL HEALTH,K,58
2013-07,ASSAULTS,J,23
2011-11,RECKLESS BURNING,E,1
2011-08,"NUISANCE, MISCHIEF",M,134
2012-10,"PERSONS - LOST, FOUND, MISSING",N,14
2012-01,"PROPERTY - MISSING, FOUND",C,28
2012-06,PROPERTY DAMAGE,M,23
2011-04,TRESPASS,G,13
2011-01,BURGLARY,W,53
2011-06,PROSTITUTION,K,5
2012-06,HAZARDS,Q,12
2013-12,CAR PROWL,F,26
2013-11,ASSAULTS,Q,8
2012-12,"THREATS, HARASSMENT",U,11
2011-04,FALSE ALARMS,C,82
2013-10,ANIMAL COMPLAINTS,G,5
2013-03,MISCELLANEOUS MISDEMEANORS,NULL,2
2013-10,PROSTITUTION,O,6
2012-05,PERSON DOWN/INJURY,NULL,1
2013-03,MENTAL HEALTH,N,57
2012-03,CAR PROWL,W,22
2012-02,"THREATS, HARASSMENT",D,13
2013-03,OTHER VICE,Q,2
2011-07,HAZARDS,B,29
2012-08,PROPERTY DAMAGE,E,22
2012-05,"THREATS, HARASSMENT",F,22
2013-01,PERSON DOWN/INJURY,Q,17
2012-09,PROWLER,S,4
2012-11,PROPERTY DAMAGE,L,11
2011-09,"PROPERTY - MISSING, FOUND",M,21
2011-05,ASSAULTS,G,16
2013-06,RECKLESS BURNING,U,1
2012-09,ROBBERY,M,15
2011-03,ACCIDENT INVESTIGATION,O,55
2012-04,"NUISANCE, MISCHIEF",F,12
2011-12,DISTURBANCES,S,122
2011-04,PROWLER,E,2
2013-12,"NUISANCE, MISCHIEF",J,21
2012-03,DISTURBANCES,O,133
2011-11,MENTAL HEALTH,C,23
2013-06,SUSPICIOUS CIRCUMSTANCES,99,3
2013-07,PROPERTY DAMAGE,M,30
2011-07,TRAFFIC RELATED CALLS,M,322
2011-01,MENTAL HEALTH,R,17
2012-11,SHOPLIFTING,R,11
2013-09,HAZARDS,N,26
2013-09,ACCIDENT INVESTIGATION,O,6
2013-02,CAR PROWL,NULL,2
2011-01,PROPERTY DAMAGE,W,16
2013-04,TRESPASS,L,12
2013-09,SHOPLIFTING,U,55
2013-12,"PERSONS - LOST, FOUND, MISSING",K,2
2013-07,PROSTITUTION,E,1
2011-02,DISTURBANCES,N,144
2011-11,DISTURBANCES,K,279
2013-05,SHOPLIFTING,B,21
2011-10,TRAFFIC RELATED CALLS,K,283
2013-02,NARCOTICS COMPLAINTS,R,7
2011-03,PROSTITUTION,L,1
2013-09,SUSPICIOUS CIRCUMSTANCES,NULL,2
2013-11,AUTO THEFTS,M,20
2011-01,VICE CALLS,O,1
2012-02,TRESPASS,K,79
2013-10,PERSON DOWN/INJURY,F,9
2013-10,LIQUOR VIOLATIONS,W,13
2011-06,DISTURBANCES,G,187
2012-10,"NUISANCE, MISCHIEF",K,92
2011-04,ACCIDENT INVESTIGATION,F,67
2013-08,NARCOTICS COMPLAINTS,B,6
2013-01,FALSE ALARMS,R,58
2011-08,MENTAL HEALTH,O,15
2012-01,SHOPLIFTING,U,33
2011-03,"NUISANCE, MISCHIEF",E,15
2012-09,ARREST,E,32
2011-04,ACCIDENT INVESTIGATION,E,87
2013-09,WEAPONS CALLS,S,5
2013-06,"NUISANCE, MISCHIEF",N,24
2011-05,ARREST,D,25
2013-10,OTHER PROPERTY,G,23
2013-01,TRESPASS,J,25
2012-11,ARREST,E,31
2013-12,HAZARDS,C,12
2013-02,"PERSONS - LOST, FOUND, MISSING",NULL,1
2013-03,MISCELLANEOUS MISDEMEANORS,F,3
2011-05,ACCIDENT INVESTIGATION,B,80
2013-05,ANIMAL COMPLAINTS,D,3
2011-01,HAZARDS,W,22
2013-11,BIKE,N,5
2012-08,"NUISANCE, MISCHIEF",S,10
2011-01,TRAFFIC RELATED CALLS,M,320
2012-05,OTHER VICE,N,3
2013-03,MENTAL HEALTH,M,74
2012-09,MISCELLANEOUS MISDEMEANORS,G,3
2012-04,ACCIDENT INVESTIGATION,G,51
2011-09,BURGLARY,W,57
2013-10,PROSTITUTION,N,39
2012-07,AUTO THEFTS,D,25
2013-04,MENTAL HEALTH,C,32
2012-12,PROWLER,S,3
2012-07,MENTAL HEALTH,R,28
2012-09,BURGLARY,O,54
2013-01,LIQUOR VIOLATIONS,N,4
2011-09,MISCELLANEOUS MISDEMEANORS,R,4
2012-10,LIQUOR VIOLATIONS,G,12
2011-11,"NUISANCE, MISCHIEF",99,2
2013-02,ACCIDENT INVESTIGATION,K,82
2012-06,BURGLARY,R,58
2012-02,DISTURBANCES,L,139
2013-04,PROPERTY DAMAGE,Q,17
2012-04,PROSTITUTION,C,1
2011-07,SUSPICIOUS CIRCUMSTANCES,K,285
2013-10,AUTO THEFTS,G,20
2011-04,LEWD CONDUCT,D,2
2013-06,ASSAULTS,B,12
2013-07,CAR PROWL,U,41
2012-07,ACCIDENT INVESTIGATION,K,110
2013-06,HARBOR CALLS,L,2
2013-06,"NUISANCE, MISCHIEF",E,22
2013-10,ACCIDENT INVESTIGATION,L,1
2012-03,PROPERTY DAMAGE,R,32
2012-12,HAZARDS,S,6
2011-02,PERSON DOWN/INJURY,D,26
2011-08,FRAUD CALLS,F,16
2012-08,ROBBERY,B,1
2012-01,DISTURBANCES,S,117
2012-08,"PROPERTY - MISSING, FOUND",U,14
2012-09,OTHER PROPERTY,99,1
2012-10,BIKE,D,8
2013-02,PROPERTY DAMAGE,F,23
2012-11,PROSTITUTION,G,6
2012-03,BURGLARY,U,55
2011-11,HAZARDS,N,11
2012-07,NARCOTICS COMPLAINTS,99,2
2012-06,PROPERTY DAMAGE,W,24
2013-11,FRAUD CALLS,D,7
2013-07,"PROPERTY - MISSING, FOUND",D,28
2011-12,TRESPASS,U,28
2013-08,PROWLER,Q,2
2013-09,ARREST,N,11
2013-08,ACCIDENT INVESTIGATION,B,84
2013-07,FRAUD CALLS,D,20
2012-09,DISTURBANCES,99,1
2012-02,ACCIDENT INVESTIGATION,O,85
2011-02,"PROPERTY - MISSING, FOUND",F,9
2012-05,ASSAULTS,E,29
2011-07,ACCIDENT INVESTIGATION,99,1
2011-05,SUSPICIOUS CIRCUMSTANCES,NULL,1
2012-12,LIQUOR VIOLATIONS,O,109
2013-03,MENTAL HEALTH,D,72
2011-07,ARREST,F,13
2013-07,TRAFFIC RELATED CALLS,NULL,2
2013-09,ANIMAL COMPLAINTS,F,8
2012-01,MISCELLANEOUS MISDEMEANORS,D,6
2012-07,TRAFFIC RELATED CALLS,99,3
2012-09,MENTAL HEALTH,J,47
2011-03,WEAPONS CALLS,O,4
2011-07,ANIMAL COMPLAINTS,N,2
2011-08,ACCIDENT INVESTIGATION,K,94
2013-01,"THREATS, HARASSMENT",N,17
2011-02,"THREATS, HARASSMENT",U,19
2012-08,TRESPASS,F,8
2012-02,ANIMAL COMPLAINTS,C,3
2013-09,FALSE ALARMS,J,63
2012-02,DISTURBANCES,F,102
2011-10,DISTURBANCES,C,141
2013-08,ANIMAL COMPLAINTS,E,5
2013-07,"PERSONS - LOST, FOUND, MISSING",B,5
2011-08,HARBOR CALLS,L,2
2011-11,WEAPONS CALLS,C,1
2012-11,ACCIDENT INVESTIGATION,W,65
2011-05,FRAUD CALLS,K,5
2013-11,"THREATS, HARASSMENT",99,1
2012-06,SHOPLIFTING,Q,24
2013-09,PROWLER,C,1
2013-07,FRAUD CALLS,O,6
2011-11,"THREATS, HARASSMENT",G,11
2013-08,TRESPASS,L,12
2011-09,ACCIDENT INVESTIGATION,S,65
2012-02,CAR PROWL,W,32
2012-02,NARCOTICS COMPLAINTS,W,10
2012-02,"PERSONS - LOST, FOUND, MISSING",O,8
2012-01,FALSE ALARMS,E,22
2012-07,ANIMAL COMPLAINTS,N,6
2013-12,"PROPERTY - MISSING, FOUND",F,8
2011-01,MENTAL HEALTH,M,56
2013-06,MENTAL HEALTH,O,17
2013-10,ASSAULTS,U,23
2012-08,BIKE,B,6
2013-06,ANIMAL COMPLAINTS,U,3
2011-11,ROBBERY,W,1
2013-09,NARCOTICS COMPLAINTS,O,6
2013-11,MENTAL HEALTH,K,60
2013-01,HAZARDS,NULL,1
2012-10,FALSE ALARMS,S,55
2012-09,ARREST,N,42
2012-06,PROPERTY DAMAGE,O,25
2013-06,PROSTITUTION,R,2
2012-04,CAR PROWL,K,104
2012-02,FAILURE TO REGISTER (SEX OFFENDER),K,1
2011-12,PROPERTY DAMAGE,K,32
2011-07,FALSE ALARMS,C,85
2013-05,PROWLER,F,1
2011-03,CAR PROWL,L,40
2013-05,OTHER VICE,G,2
2011-09,"NUISANCE, MISCHIEF",D,90
2012-02,HAZARDS,U,10
2011-12,TRAFFIC RELATED CALLS,Q,278
2011-08,BURGLARY,B,49
2012-03,"PROPERTY - MISSING, FOUND",B,11
2011-02,NARCOTICS COMPLAINTS,G,17
2012-02,ROBBERY,G,5
2011-03,"PROPERTY - MISSING, FOUND",C,23
2013-12,MISCELLANEOUS MISDEMEANORS,D,3
2011-12,BURGLARY,Q,41
2011-11,DRIVE BY (NO INJURY),S,2
2012-08,TRAFFIC RELATED CALLS,R,241
2011-03,PROPERTY DAMAGE,K,18
2013-06,SHOPLIFTING,Q,13
2012-11,TRAFFIC RELATED CALLS,E,228
2011-12,"PROPERTY - MISSING, FOUND",E,5
2011-10,PERSON DOWN/INJURY,Q,11
2012-09,OTHER PROPERTY,S,39
2012-05,ASSAULTS,D,29
2013-02,CAR PROWL,R,28
2012-06,"PERSONS - LOST, FOUND, MISSING",L,12
2011-12,ARREST,C,14
2013-02,FALSE ALARMS,Q,61
2011-12,ACCIDENT INVESTIGATION,C,64
2011-01,TRAFFIC RELATED CALLS,F,219
2011-08,PROWLER,L,2
2013-09,ARREST,O,4
2011-02,WEAPONS CALLS,S,2
2013-01,DISTURBANCES,O,79
2013-08,LIQUOR VIOLATIONS,F,15
2013-06,TRESPASS,R,23
2013-09,HAZARDS,W,35
2012-02,OTHER PROPERTY,S,23
2013-07,AUTO THEFTS,N,42
2011-03,AUTO THEFTS,M,12
2011-05,HAZARDS,O,18
2013-08,"PROPERTY - MISSING, FOUND",F,19
2013-08,ASSAULTS,J,11
2013-04,SUSPICIOUS CIRCUMSTANCES,Q,178
2012-05,ACCIDENT INVESTIGATION,D,131
2011-11,DRIVE BY (NO INJURY),R,2
2012-11,TRESPASS,S,9
2013-05,ROBBERY,D,11
2012-01,ANIMAL COMPLAINTS,C,4
2013-01,ANIMAL COMPLAINTS,B,2
2012-03,DRIVE BY (NO INJURY),W,1
2011-11,TRESPASS,Q,9
2011-12,BIKE,F,2
2012-09,TRESPASS,O,20
2012-07,SUSPICIOUS CIRCUMSTANCES,99,7
2013-12,AUTO THEFTS,L,25
2012-11,FRAUD CALLS,M,12
2012-06,OTHER PROPERTY,M,93
2013-11,OTHER PROPERTY,W,24
2011-01,ROBBERY,R,8
2013-04,MISCELLANEOUS MISDEMEANORS,F,6
2011-09,BURGLARY,B,30
2012-11,"PERSONS - LOST, FOUND, MISSING",G,5
2013-04,ACCIDENT INVESTIGATION,U,106
2011-11,"THREATS, HARASSMENT",C,9
2011-07,ANIMAL COMPLAINTS,M,5
2011-09,"PERSONS - LOST, FOUND, MISSING",D,9
2011-04,TRAFFIC RELATED CALLS,C,255
2011-07,SUSPICIOUS CIRCUMSTANCES,D,231
2012-09,ARREST,D,34
2011-04,ACCIDENT INVESTIGATION,C,70
2013-06,AUTO THEFTS,E,26
2013-04,ASSAULTS,K,59
2011-11,WEAPONS CALLS,M,9
2013-06,MENTAL HEALTH,L,31
2013-03,TRESPASS,Q,18
2011-12,ACCIDENT INVESTIGATION,Q,79
2013-11,AUTO THEFTS,J,61
2011-08,OTHER PROPERTY,N,59
2013-06,DRIVE BY (NO INJURY),F,1
2012-12,ARREST,J,11
2011-08,TRESPASS,Q,20
2011-05,HAZARDS,D,14
2011-04,NARCOTICS COMPLAINTS,U,32
2012-12,MISCELLANEOUS MISDEMEANORS,Q,2
2012-12,PROWLER,L,5
2012-11,PROSTITUTION,E,4
2011-08,PROWLER,G,2
2012-03,CAR PROWL,U,34
2012-04,AUTO THEFTS,D,27
2013-10,ACCIDENT INVESTIGATION,N,3
2013-07,PROPERTY DAMAGE,J,30
2011-04,NARCOTICS COMPLAINTS,99,5
2011-08,RECKLESS BURNING,G,1
2012-02,ASSAULTS,L,15
2013-01,PERSON DOWN/INJURY,E,6
